Task_ID,Task_Name,Task_Date,Task_Time,Task_Recurring,Task_Status
1,Cab,06/07/2026,11:47 AM,None,Failed
1,caing,06/07/2026,12:25 AM,Daily,Pending
2,Assignment,06/07/2026,12:35 AM,Daily,Pending
3,watching,06/07/2026,12:43 AM,Daily,Pending
5,Write Book,06/07/2026,02:14 AM,Daily,Pending
6,ola booking,06/07/2026,02:19 PM,Daily,Failed
6,Listening songs,06/07/2026,03:16 PM,Daily,Failed
10,movie time,06/07/2026,4:30 PM,Weekly,Failed
12,Train booking,06/07/2026,12:30 PM,Monthly,Completed
15,cab book,06/07/2026,10:20 PM,Daily,Failed
24,cab booking,07/07/2026,08:30 PM,pending,Delhi
26,cab booking,07/07/2026,08:36 PM,Daily,Failed
101,project Demo,08/07/2026,11:11 AM,Daily,Failed
